,0
0,Occupation_Satisfaction
1,Garden_sqr_meter_per_person_in_residancy_area
2,Yearly_IncomeK
3,Avg_monthly_expense_on_pets_or_plants
4,Avg_monthly_household_cost
5,Avg_size_per_room
6,Weighted_education_rank
7,Last_school_grades
8,Number_of_differnt_parties_voted_for
9,Political_interest_Total_Score
10,Number_of_valued_Kneset_members
11,Overall_happiness_score
12,Looking_at_poles_int
13,Married_int
14,Gender_int
15,Voting_time_int
16,Financial_agenda_matters_int
17,Will_vote_only_large_party_int
18,Age_group_int
19,Most_Important_Issue_Social
20,Most_Important_Issue_Education
21,Most_Important_Issue_Environment
22,Most_Important_Issue_Financial
23,Most_Important_Issue_Healthcare
24,Most_Important_Issue_Foreign_Affairs
25,Most_Important_Issue_Other
26,Most_Important_Issue_Military
27,Main_transportation_Car
28,Main_transportation_Public_or_other
29,Main_transportation_Foot_or_bicycle
30,Main_transportation_Motorcycle_or_truck
31,Occupation_Services_or_Retail
32,Occupation_Public_Sector
33,Occupation_Student_or_Unemployed
34,Occupation_Hightech
35,Occupation_Industry_or_other
